"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Total_steps"
"sarsa_alpha0.45208819136872114_epsilon0.1172307746053969_epsilon_decay0.9058348979500976_seed10","sarsa","0.45208819136872114","0.1172307746053969","0.9058348979500976","10","10"
"sarsa_alpha0.4377892491209849_epsilon0.051114338495093746_epsilon_decay0.9089154234468128_seed30","sarsa","0.4377892491209849","0.051114338495093746","0.9089154234468128","30","63"
"sarsa_alpha0.6691074627297504_epsilon0.07973214447741232_epsilon_decay0.9185905654055756_seed10","sarsa","0.6691074627297504","0.07973214447741232","0.9185905654055756","10","10"
"sarsa_alpha0.8443367779502343_epsilon0.18014477449196328_epsilon_decay0.9685625130970082_seed50","sarsa","0.8443367779502343","0.18014477449196328","0.9685625130970082","50","13"
"sarsa_alpha0.1702287874330826_epsilon0.19317104541752136_epsilon_decay0.9250129376131262_seed50","sarsa","0.1702287874330826","0.19317104541752136","0.9250129376131262","50","12"
"sarsa_alpha0.207207104228253_epsilon0.028276544712519298_epsilon_decay0.971522906905771_seed10","sarsa","0.207207104228253","0.028276544712519298","0.971522906905771","10","44"
"sarsa_alpha0.6107720134454893_epsilon0.07504800389638702_epsilon_decay0.9352921405215108_seed20","sarsa","0.6107720134454893","0.07504800389638702","0.9352921405215108","20","30"
"sarsa_alpha0.23555049246080748_epsilon0.11434000630285772_epsilon_decay0.9249693718113726_seed10","sarsa","0.23555049246080748","0.11434000630285772","0.9249693718113726","10","10"
"sarsa_alpha0.7271867043732007_epsilon0.1964426651286419_epsilon_decay0.9217477748627227_seed30","sarsa","0.7271867043732007","0.1964426651286419","0.9217477748627227","30","22"
"sarsa_alpha0.06248357431039202_epsilon0.023131015115414953_epsilon_decay0.9656051055203068_seed30","sarsa","0.06248357431039202","0.023131015115414953","0.9656051055203068","30","100"
"sarsa_alpha0.6196206006523963_epsilon0.1843003931773467_epsilon_decay0.9052022079141584_seed40","sarsa","0.6196206006523963","0.1843003931773467","0.9052022079141584","40","6"
"sarsa_alpha0.5189223320698889_epsilon0.08233240621971663_epsilon_decay0.9404929225261356_seed30","sarsa","0.5189223320698889","0.08233240621971663","0.9404929225261356","30","8"
"sarsa_alpha0.05144524417930306_epsilon0.06680951839675088_epsilon_decay0.9834086792382576_seed10","sarsa","0.05144524417930306","0.06680951839675088","0.9834086792382576","10","100"
"sarsa_alpha0.9053377479941748_epsilon0.181095254286971_epsilon_decay0.9049224018503492_seed20","sarsa","0.9053377479941748","0.181095254286971","0.9049224018503492","20","6"
"sarsa_alpha0.8752490361784656_epsilon0.1138505514040726_epsilon_decay0.9590205122228562_seed30","sarsa","0.8752490361784656","0.1138505514040726","0.9590205122228562","30","7"
"sarsa_alpha0.5553492937738793_epsilon0.09143735481147282_epsilon_decay0.9894128943656_seed40","sarsa","0.5553492937738793","0.09143735481147282","0.9894128943656","40","9"
"sarsa_alpha0.2752918598423951_epsilon0.062250907569802415_epsilon_decay0.9444372082457996_seed10","sarsa","0.2752918598423951","0.062250907569802415","0.9444372082457996","10","62"
"sarsa_alpha0.7443356299328879_epsilon0.05186823019582373_epsilon_decay0.9776163343297876_seed20","sarsa","0.7443356299328879","0.05186823019582373","0.9776163343297876","20","76"
"sarsa_alpha0.367384603765715_epsilon0.1823610524384896_epsilon_decay0.9621636443871612_seed30","sarsa","0.367384603765715","0.1823610524384896","0.9621636443871612","30","35"
"sarsa_alpha0.26053172433690314_epsilon0.08918903344700743_epsilon_decay0.9673376521756442_seed20","sarsa","0.26053172433690314","0.08918903344700743","0.9673376521756442","20","41"
"sarsa_alpha0.158828248518852_epsilon0.15525104210494353_epsilon_decay0.9482360404800876_seed10","sarsa","0.158828248518852","0.15525104210494353","0.9482360404800876","10","68"
"sarsa_alpha0.0920749190884564_epsilon0.09245897228946404_epsilon_decay0.9249230378022848_seed30","sarsa","0.0920749190884564","0.09245897228946404","0.9249230378022848","30","39"
"sarsa_alpha0.25706718052431154_epsilon0.10257737907550814_epsilon_decay0.9719800898966402_seed20","sarsa","0.25706718052431154","0.10257737907550814","0.9719800898966402","20","40"
"sarsa_alpha0.7576839221555579_epsilon0.09665413068331943_epsilon_decay0.9853272875011062_seed50","sarsa","0.7576839221555579","0.09665413068331943","0.9853272875011062","50","3"
"sarsa_alpha0.9561160522710276_epsilon0.15141365771693005_epsilon_decay0.9301248579396564_seed40","sarsa","0.9561160522710276","0.15141365771693005","0.9301248579396564","40","6"
"sarsa_alpha0.5115381960242297_epsilon0.19491524855519032_epsilon_decay0.914131936850022_seed30","sarsa","0.5115381960242297","0.19491524855519032","0.914131936850022","30","7"
"sarsa_alpha0.5518909413579118_epsilon0.14968081252625107_epsilon_decay0.9663730181183218_seed40","sarsa","0.5518909413579118","0.14968081252625107","0.9663730181183218","40","17"
"sarsa_alpha0.07452109271698011_epsilon0.016901820633078393_epsilon_decay0.9846566180109736_seed40","sarsa","0.07452109271698011","0.016901820633078393","0.9846566180109736","40","40"
